916.38413	102.02857	123	125.25714	136.77143	123.8	202.22857	165.68571	173.62857	251.85714	80.77143	122.85714	116.74286	104.34286	127.45714	135.54286	196.77143	210.65714	296.45714	374.11429	436.8	622.8	39.61601
918.19744	113.94286	115.97143	131.51429	128.65714	119.97143	202.11429	162.97143	155.2	250.28571	88.71429	110.17143	110.54286	101.82857	122.11429	132.94286	188.82857	213.11429	286.62857	374.02857	423.54286	617.65714	29.51382
920.0094	112.4	104.4	144.94286	135.68571	122.74286	194.71429	161.82857	164.31429	256.65714	93.48571	105.11429	111.11429	102.02857	123.51429	135.91429	193.71429	230.8	279.94286	388.08571	430.22857	644.4	22.5716
921.82081	112.6	101.31429	142.28571	129.71429	119.22857	194.82857	172.48571	175.25714	269.11429	96.94286	114.08571	100.34286	96.48571	128.34286	140.11429	195.97143	228.94286	291.77143	386.45714	450.85714	651.45714	34.16219
923.63166	114.85714	116.17143	134.97143	126.37143	121.11429	191.65714	159.77143	179.8	274.4	86.28571	122.2	113.71429	100.77143	136.2	135.57143	195.85714	217.77143	304.05714	363.45714	451.62857	654.37143	46.22986
925.44196	108.45714	118.48571	130.6	135.25714	118.65714	186.51429	155.17143	170.37143	255.42857	89.14286	110.88571	112.94286	104.65714	130.94286	124.85714	196.02857	216.02857	294.4	357.05714	442.48571	648.88571	36.37601
927.2517	98.54286	113.77143	138.42857	140.28571	126.14286	193.08571	148.94286	158.74286	265.8	93.4	114.08571	118.88571	100.51429	119.28571	129.71429	179.48571	231.08571	279.48571	373.57143	446.85714	631.82857	21.28776
929.06089	104.22857	123.57143	130.2	132.25714	139.65714	203.51429	154.71429	144.85714	263.74286	106.85714	115.77143	113.51429	95.51429	135.68571	133.94286	174.82857	210.54286	285.57143	391.74286	440.51429	652.11429	27.22365
930.86953	107	128.02857	132.8	125.02857	126.37143	198.91429	157.82857	151.42857	261.71429	94.57143	110.97143	117.6	102.54286	136.57143	130.71429	184.4	197.42857	287.88571	374.88571	454.71429	669.11429	29.41367
932.67761	116.91429	113.8	143.31429	129.8	114.14286	184.45714	164.77143	167.54286	264.4	89.82857	113.88571	118.42857	112.68571	136.6	135.08571	184	206.34286	284.85714	358.62857	450.28571	663.85714	26.28779
934.48514	132.11429	112.4	147.88571	136.05714	120.8	186.25714	170.42857	169.08571	271.51429	84.8	114.05714	111.97143	112.8	131.62857	144.8	186.74286	219.11429	302.65714	356.02857	436.91429	646.4	44.01885
936.29212	130.77143	116.94286	140.08571	138.17143	125.54286	197.31429	163.17143	165.68571	249.48571	91.08571	113.74286	110.8	111.02857	128.88571	144.71429	194.85714	207.4	312.28571	389.91429	431.42857	658.94286	53.60825
938.09854	103.4	117.54286	130.11429	135.22857	126.31429	195.74286	163.25714	162.6	234.28571	83.31429	107.8	111.05714	95.42857	120.54286	134.11429	197.08571	202.34286	312.91429	395.42857	441.11429	655.77143	54.22883
