wn(2023/7/26 23:00:43)	2023/7/26 23:00:43	
295.368628255308	224
297.381740248156	232
299.393321732974	193
301.406010162307	166
303.416290238969	186
305.426798561894	192
307.435778776782	209
309.444987300465	180
311.452668913924	189
313.460578898443	185
315.467839943683	196
317.473575872991	207
319.479540266269	200
321.483980738021	213
323.487774092973	238
325.4917960042	234
327.495170859971	238
329.497024178951	247
331.499106145935	252
333.499667766462	256
335.49958414751	236
337.498855601192	229
339.499229208957	238
341.497211180371	212
343.494549159823	215
345.491243458619	185
347.487294387865	212
349.482702258472	179
351.477467381144	215
353.472461483099	181
355.466812896646	196
357.459651076864	179
359.451847750248	169
361.443403226504	173
363.434317815139	173
365.425461560468	146
367.414225566592	152
369.403219347429	171
371.391573476689	152
373.379288262888	140
375.367232351837	131
377.353669097563	159
379.339467424716	145
381.324627641012	165
383.30828283206	164
385.292168027581	174
387.276282699031	130
389.258893545177	139
391.240001707622	152
393.221339987909	161
395.202042305729	140
397.18210896723	155
399.161540278357	166
401.140336544862	144
403.117633629818	134
405.095161000771	160
407.072054243044	133
409.048313661608	154
411.023939561233	142
412.998069188669	162
414.97242924051	151
416.945294181451	141
418.919251830408	129
420.890853023726	159
422.86268475106	156
424.833023686404	148
426.8027320851	148
428.773531948829	139
430.741979631157	146
432.709797684389	133
434.67784643419	161
436.644405860185	129
438.611196036443	150
440.577357241198	143
442.542030851975	126
444.506076643409	146
446.469494916386	144
448.433144072782	121
450.396165763683	137
452.357702736826	157
454.318613393396	128
456.278898033315	152
458.239413688296	139
460.198446920525	145
462.156855034864	155
464.114638330473	135
466.071797106322	139
468.029187027347	147
469.985097387073	142
471.940384122932	138
473.895047533133	133
475.849087915693	142
477.803359572048	142
479.756154520523	132
481.7083273344	150
483.659878310938	134
485.610807747207	140
487.561115940085	152
489.510803186262	143
491.459869782242	125
493.408316024339	146
495.356142208675	151
497.303348631189	154
499.249935587624	151
501.195052626526	161
503.141252284322	155
505.085982615139	183
507.029244725207	180
508.972739051058	175
510.914766285523	210
512.857874910202	248
514.799517032179	220
516.739693754815	253
518.680102814331	292
520.619895648357	293
522.559072550393	281
524.496786304491	260
526.433885250921	226
528.372063625371	206
530.307933296697	164
